ISIN;Currency;Exchange;ETF Underlying Index Ticker;Dvd Freq;Code;Type;Name;GICS Sector;GICS Ind Name;Name
IE00B1TXHL60;GBp;LN;SPLPEQNT;Semi-Anl;IPRV;ETP;ISHARES LISTED PRIVATE EQY;#N/A N/A;#N/A N/A;ISHR LST PRV EQY
NL0009690254;EUR;NA;IES11TR;Irreg;TGBT;ETP;VANECK EUR SVRN DIV 1-10 ETF;#N/A N/A;#N/A N/A;VANECK ₣ 3/64 45/64 SVR 1
IE00B3CNHG25;EUR;IM;LGIMGMNR;None;AUCO;ETP;L&G GOLD MINING UCITS ETF;#N/A N/A;#N/A N/A;L&G DAX GOLD
FR0010424135;EUR;FP;SX5TS;None;BSX;ETP;LYXOR EURSTX50 DAILY-1X;#N/A N/A;#N/A N/A;LYX STX50 D -1X
LU1681044480;EUR;FP;NDUEEGFA;None;AASI;ETP;AMUNDI MSCI EM ASIA UCITS ET;#N/A N/A;#N/A N/A;AMUNDI ETF MSCI
LU0533033667;EUR;IM;NDWUIT;None;TNOW;ETP;LYXOR MSCI WORLD IT;#N/A N/A;#N/A N/A;LYX MSCI WRD IT
IE00B1FZSC47;USD;LN;BCIT1T;None;IDTP;ETP;ISHARES USD TIPS;#N/A N/A;#N/A N/A;ISHR $ TIPS
IE00BYPC1H27;USD;NA;I32561US;Semi-Anl;CNYB;ETP;ISHARES CHINA CNY BOND USD-D;#N/A N/A;#N/A N/A;ISH CNY BOND $D
IE00BYPLS672;USD;LN;HURNTR;None;USPY;ETP;L&G CYBER SECURITY UCITS ETF;#N/A N/A;#N/A N/A;L&G CYBER SECUR
IE00B1FZS350;USD;LN;TENGDNU;Quarter;IDWP;ETP;ISHARES DVL MKT PROPERTY YLD;#N/A N/A;#N/A N/A;ISHR DM PRPTY YD
IE00B9F5YL18;GBP;LN;TAWNT09U;Quarter;VAPX;ETP;VANG FTSEAPXJ USDD;#N/A N/A;#N/A N/A;VANG AS X JP $D
IE00BC7GZW19;EUR;GY;BRC3TREU;Semi-Anl;SYBD;ETP;SPDR BBG 0-3 EURO CORPORATE;#N/A N/A;#N/A N/A;SPDR BBG 0-3 €CP
IE00B0M63730;GBp;LN;NDEUCFEX;Quarter;IFFF;ETP;ISHR MSCI AC FAR EAST  X-JP;#N/A N/A;#N/A N/A;ISHR MSCI FE XJP
LU1834986900;EUR;FP;SXDR;Irreg;HLT;ETP;LYXOR EURSTX600 HEALTHCARE;#N/A N/A;#N/A N/A;LYX STX600 HCARE
IE00B95PGT31;GBP;LN;TWIJPNTU;Quarter;VJPN;ETP;VANG FTSE JPN USDD;#N/A N/A;#N/A N/A;VANG FTSE JP $D
IE00B3T9LM79;EUR;GY;LECPTREU;Semi-Anl;SYBC;ETP;SPDR BBG EURO CORPORATE;#N/A N/A;#N/A N/A;SPDR BBG € CORP
LU1681042864;EUR;FP;MSDEUSN;None;CU2;ETP;AMUNDI MSCI USA-EUR;#N/A N/A;#N/A N/A;AMUNDI MSCI-EU
LU1834988518;EUR;FP;SX8R;Irreg;TNO;ETP;LYXOR EURSTX600 TECHNLG;#N/A N/A;#N/A N/A;LYX STX600 TECH
JE00B588CD74;USD;LN;GOLDLNPM;None;SGBS;ETP;WT PHYSICAL SWISS GOLD;#N/A N/A;#N/A N/A;WT PHYSCL SW GLD
FR0010754135;EUR;FP;EMIGA5;None;C13;ETP;AMUNDI ETF GOVT BOND EUROMTS;#N/A N/A;#N/A N/A;AMUNDI ETF GOVT
NL0009272780;EUR;NA;TTMTIOF;Quarter;TOF;ETP;VANECK GROWTH ALLOCATION;#N/A N/A;#N/A N/A;VANECK GRWT ALLC
IE00B1FZS681;EUR;IM;BCEX2T;Irreg;IBGX;ETP;ISHARES EURO GOVT 3-5Y;#N/A N/A;#N/A N/A;ISHR € GOV 3-5
LU1437018168;EUR;FP;I35570EU;None;ECRP;ETP;AMUNDI IEACS-UCITS ETF DR;#N/A N/A;#N/A N/A;AMUNDI-UC ETDR
LU1681046691;EUR;FP;EM3AG5;#N/A N/A;AM3A;ETP;AMUNDI GOVT BOND HIGHEST ETF;#N/A N/A;#N/A N/A;AMUNDI ETF GOVT
IE00BKS2X317;EUR;NA;#N/A Field Not Applicable;Quarter;FSOV;ETP;FIRST TRUST LOW DUR G G BOND;#N/A N/A;#N/A N/A;FT LDGG BND
IE00B3FH7618;EUR;IM;LA09TREU;Irreg;IEGE;ETP;ISHARES EURO GOVT 0-1YR;#N/A N/A;#N/A N/A;ISHR € GOV 0-1Y
IE0032895942;USD;LN;IBOXIG;Quarter;LQDE;ETP;ISHARES USD CORP BOND USD D;#N/A N/A;#N/A N/A;ISH $ CORP BD $D
